geo_dma,dma_code,lat,lon,tvHomes,popShare,population,income,density,median_age,college_completion_perc,dma_region
Portland-Auburn,500,43.6772,-70.2713,383700,0.335,72982897,54850.15,54850.15,43.12,22.92,Other Minor Markets
New York,501,40.6943,-73.9249,7348620,6.407,336974987,61090.16,61090.16,42.06,27.5,Major Metro Supercities
Binghamton,502,42.1014,-75.9092,127070,0.111,3244018,60518.48,60518.48,42.01,29.62,Other Minor Markets
Macon,503,39.7424,-92.4712,232910,0.203,36339878,58272.28,58272.28,42.29,25.44,West Coast Mid Cities
Philadelphia,504,40.0076,-75.134,2942800,2.566,342576426,58011.45,58011.45,40.84,28.31,Major Metro Supercities
Detroit,505,42.3834,-83.1024,1853030,1.616,510148303,51820.09,51820.09,41.85,20.63,Other Minor Markets
Boston (Manchester),506,42.3189,-71.0838,2424240,2.114,55639829,74108.06,74108.06,44.29,37.64,Major Metro Supercities
Savannah,507,32.0282,-81.1784,340050,0.296,15181359,53419.99,53419.99,40.97,23.49,Major Metro Supercities
Pittsburgh,508,40.4396,-79.9763,1160220,1.012,259377940,59583.13,59583.13,42.37,26.21,Northeast Urban Hubs
Ft. Wayne,509,41.0885,-85.1436,262990,0.229,15479763,52710.33,52710.33,40.94,22.02,Rust Belt/Industrial Metros
Cleveland-Akron (Canton),510,41.4766,-81.6805,1498960,1.307,86720277,57317.34,57317.34,42.02,22.86,Other Minor Markets
"Washington, DC (Hagrstwn)",511,38.9047,-77.0163,2476680,2.159,534106218,58405.9,58405.9,41.53,27.26,Major Metro Supercities
Baltimore,512,39.3051,-76.6144,1119480,0.976,44284733,60453.68,60453.68,42.28,25.16,West Coast Mid Cities
Flint-Saginaw-Bay City,513,43.0235,-83.6921,423010,0.369,4037344,56371.35,56371.35,42.56,22.38,Other Minor Markets
Buffalo,514,42.9016,-78.8487,596710,0.52,10682321,56280.81,56280.81,42.74,25.47,West Coast Mid Cities
Cincinnati,515,39.1412,-84.506,863800,0.753,196129824,59247.79,59247.79,41.99,25.4,Other Minor Markets
Erie,516,42.1167,-80.0731,148880,0.13,18340101,53237.01,53237.01,42.48,23.17,Rust Belt/Industrial Metros
Charlotte,517,35.208,-80.8308,1189950,1.038,142199387,56199.58,56199.58,42.67,23.45,Other Minor Markets
Greensboro-H.Point-W.Salem,518,36.096,-79.8275,690050,0.602,21161558,54778.56,54778.56,41.13,25.28,Other Minor Markets
"Charleston, SC",519,32.8137,-79.9643,327040,0.285,1883593,59355.84,59355.84,39.97,29.6,West Coast Mid Cities
Augusta-Aiken,520,33.3644,-82.0708,260840,0.227,30958965,55948.55,55948.55,42.2,25.22,Growing Sunbelt Cities
Providence-New Bedford,521,41.8229,-71.4186,616280,0.537,128492688,61122.26,61122.26,42.29,27.44,West Coast Mid Cities
"Columbus, GA (Opelika, AL)",522,32.6621,-85.3773,217660,0.19,30165471,50323.11,50323.11,42.03,20.97,Southern Heartland Suburbs
Burlington-Plattsburgh,523,44.6951,-73.4563,307470,0.268,125955961,56893.48,56893.48,42.05,25.83,Growing Sunbelt Cities
Atlanta,524,33.7627,-84.4231,2412730,2.104,328657531,53597.49,53597.49,41.57,22.69,Northeast Urban Hubs
"Albany, GA",525,31.57851,-84.15574,142800,0.125,6779582,50986.5,50986.5,42.49,19.2,Southern Heartland Suburbs
Utica,526,43.0961,-75.226,99190,0.086,2575910,54721.78,54721.78,43.82,27.32,Growing Sunbelt Cities
Indianapolis,527,39.7771,-86.1458,1086310,0.947,519891453,54440.12,54440.12,41.9,23.35,Other Minor Markets
Miami-Ft. Lauderdale,528,25.784,-80.2102,1696330,1.479,28268626,58179.38,58179.38,42.94,24.27,West Coast Mid Cities
Louisville,529,38.1662,-85.6488,662170,0.577,643564889,56046.28,56046.28,41.9,24.82,Other Minor Markets
Tallahassee-Thomasville,530,30.4549,-84.2527,268390,0.234,22562581,55497.16,55497.16,41.11,25.71,Growing Sunbelt Cities
"Tri-Cities, TN-VA",531,36.5572,-82.2144,306770,0.267,215402507,58824.1,58824.1,42.16,26.06,Northeast Urban Hubs
Albany-Schenectady-Troy,532,42.6664,-73.7987,529120,0.461,109320767,58659.85,58659.85,42.14,26.34,West Coast Mid Cities
Hartford & New Haven,533,41.7661,-72.6834,963950,0.84,,,,,,Northeast Urban Hubs
Orlando-Daytona Bch-Melbrn,534,28.4801,-81.3448,1519570,1.325,270706261,54797.89,54797.89,42.39,24.5,Small Coastal Cities
"Columbus, OH",535,39.9859,-82.9852,920740,0.803,875119390,52831.4,52831.4,41.79,23.45,Major Metro Supercities
Youngstown,536,41.0994,-80.6463,249230,0.217,7952604,56974.92,56974.92,42.73,23.44,Other Minor Markets
Bangor,537,44.8322,-68.7906,133310,0.116,36364505,60256.42,60256.42,42.57,26.71,West Coast Mid Cities
"Rochester, NY",538,43.1681,-77.6162,404170,0.352,244031279,55434.35,55434.35,42.63,22.69,Northeast Urban Hubs
Tampa-St. Pete (Sarasota),539,27.9937,-82.4454,1908590,1.664,117213313,54806.75,54806.75,42.49,23.82,Rust Belt/Industrial Metros
Traverse City-Cadillac,540,44.7545,-85.6034,235400,0.205,5388257,55383.86,55383.86,44.03,24.81,Other Minor Markets
Lexington,541,38.0423,-84.4587,479420,0.418,173122369,52783.34,52783.34,41.88,22.05,Rust Belt/Industrial Metros
Dayton,542,39.7798,-84.1999,466040,0.406,244567733,55212.61,55212.61,40.99,24.63,Northeast Urban Hubs
Springfield-Holyoke,543,42.20426,-72.6162,249430,0.217,43060080,52568.79,52568.79,41.81,24.02,Rust Belt/Industrial Metros
Norfolk-Portsmth-Newpt Nws,544,36.8945,-76.259,717170,0.625,3210754,63961.16,63961.16,44.8,30.94,Other Minor Markets
Greenville-N.Bern-Washngtn,545,35.61266,-77.36635,301990,0.263,15755787,59803.36,59803.36,42.5,25.52,West Coast Mid Cities
"Columbia, SC",546,34.0366,-80.9043,400790,0.349,23280148,53297.62,53297.62,41.53,21.83,Rust Belt/Industrial Metros
Toledo,547,41.6639,-83.582,400170,0.349,17412603,55204.66,55204.66,43.14,22.44,Other Minor Markets
West Palm Beach-Ft. Pierce,548,26.7468,-80.1315,824920,0.719,7492385,75810.6,75810.6,44.02,22.84,Other Minor Markets
Watertown,549,43.9734,-75.9094,88070,0.077,77330977,55853.7,55853.7,42.01,25.5,Rust Belt/Industrial Metros
Wilmington,550,34.21,-77.886,197700,0.172,952931,53518.16,53518.16,46.48,25.29,Southern Heartland Suburbs
Lansing,551,42.7142,-84.5598,250670,0.219,95580676,51126.73,51126.73,40.65,21.35,Southern Heartland Suburbs
Presque Isle,552,46.6868,-67.9874,26880,0.023,66804,53650,53650,48.6,22.37,Southern Heartland Suburbs
Marquette,553,46.544,-87.4082,82740,0.072,1107453,52396.28,52396.28,45.81,24.27,Southern Heartland Suburbs
Wheeling-Steubenville,554,40.3653,-80.652,128720,0.112,55340363,56026.09,56026.09,42.24,24.77,Growing Sunbelt Cities
Syracuse,555,43.0409,-76.1438,368950,0.322,29179531,54470.68,54470.68,40.04,27.11,Other Minor Markets
Richmond-Petersburg,556,37.5294,-77.4755,564510,0.492,7969902,63643.99,63643.99,43.22,29.23,Other Minor Markets
Knoxville,557,35.969,-83.9498,514610,0.449,111269759,55646.44,55646.44,41.95,23.79,Growing Sunbelt Cities
Lima,558,40.7409,-84.1121,66570,0.058,5122532,56746.18,56746.18,42.16,25.21,Growing Sunbelt Cities
Bluefield-Beckley-Oak Hill,559,37.7878,-81.1841,127090,0.111,12771116,57471.13,57471.13,43.11,23.5,Other Minor Markets
Raleigh-Durham (Fayetvlle),560,35.8323,-78.6441,1153580,1.006,115194723,54513.99,54513.99,41.68,24.13,Rust Belt/Industrial Metros
Jacksonville,561,30.3322,-81.6749,688500,0.6,92944762,54789.15,54789.15,42.01,24.25,Rust Belt/Industrial Metros
Grand Rapids-Kalmzoo-B.Crk,563,42.9615,-85.6557,709670,0.619,39744678,54275.39,54275.39,43.07,22.26,Other Minor Markets
Charleston-Huntington,564,32.8137,-79.9643,431150,0.376,89653928,52443.31,52443.31,41.92,21.73,Rust Belt/Industrial Metros
Elmira (Corning),565,42.0938,-76.8097,90550,0.079,768427,53294.24,53294.24,43.86,22.73,Other Minor Markets
Harrisburg-Lncstr-Leb-York,566,40.2752,-76.8843,715110,0.624,142740588,53889.66,53889.66,41.95,24.14,Rust Belt/Industrial Metros
Greenvll-Spart-Ashevll-And,567,34.8364,-82.3649,845990,0.738,76141716,52743.52,52743.52,41.3,22.91,Rust Belt/Industrial Metros
Harrisonburg,569,38.4362,-78.8735,89730,0.078,791050,67711.31,67711.31,44.19,27.19,Other Minor Markets
Myrtle Beach-Florence,570,33.7095,-78.8844,291680,0.254,9151699,50518.63,50518.63,42.7,19.99,Southern Heartland Suburbs
Ft. Myers-Naples,571,26.6197,-81.8306,518730,0.452,111509544,50451.47,50451.47,41.71,21.31,Southern Heartland Suburbs
Roanoke-Lynchburg,573,37.2784,-79.9581,439620,0.383,77428205,53936.04,53936.04,42.02,23.96,Rust Belt/Industrial Metros
Johnstown-Altoona-St Colge,574,40.5084,-78.401,277210,0.242,31639828,56265.64,56265.64,42.09,25.78,Growing Sunbelt Cities
Chattanooga,575,35.0657,-85.2488,351220,0.306,57340615,57968.34,57968.34,42.35,23.97,West Coast Mid Cities
Salisbury,576,38.3755,-75.5883,162050,0.141,3143466,61471.08,61471.08,44.06,28.84,Other Minor Markets
Wilkes Barre-Scranton-Hztn,577,41.4043,-75.6649,554660,0.484,81951628,55281.09,55281.09,42.41,22.59,Other Minor Markets
Terre Haute,581,39.4654,-87.3763,133780,0.117,26983006,52594.39,52594.39,41.97,22.03,Rust Belt/Industrial Metros
"Lafayette, IN",582,40.4167,-86.87529,69180,0.06,2500974,57358.99,57358.99,41.8,25.78,Growing Sunbelt Cities
Alpena,583,45.0745,-83.4383,16010,0.014,39113,51031.85,51031.85,55.59,19.81,Southern Heartland Suburbs
Charlottesville,584,38.0374,-78.4856,74990,0.065,10683611,54950.9,54950.9,40.24,27.1,Growing Sunbelt Cities
South Bend-Elkhart,588,41.6771,-86.269,313210,0.273,14181482,55503.37,55503.37,41.96,21.46,Other Minor Markets
Gainesville,592,29.6814,-82.3454,126400,0.11,367100,50962.52,50962.52,38.18,33.55,College Towns/Youthful Areas
Zanesville,596,39.9567,-82.0133,32450,0.028,91481,52225,52225,40.22,20.32,Southern Heartland Suburbs
Parkersburg,597,39.2624,-81.5419,60620,0.053,55132753,60667.62,60667.62,42.31,27.1,West Coast Mid Cities
Clarksburg-Weston,598,39.2862,-80.323,103090,0.09,24323744,50101.88,50101.88,42.48,19.06,Southern Heartland Suburbs
Corpus Christi,600,27.7173,-97.3822,209760,0.183,640474,52308.55,52308.55,37.58,18.73,Southern Heartland Suburbs
Chicago,602,41.8373,-87.6861,3463060,3.019,232661688,57895.23,57895.23,43.28,27.75,Other Minor Markets
Joplin-Pittsburg,603,37.0766,-94.5016,144110,0.126,16987966,50874.97,50874.97,42.27,20.04,Southern Heartland Suburbs
Columbia-Jefferson City,604,38.5677,-92.1757,171330,0.149,20244844,55243.06,55243.06,40.95,25.02,Growing Sunbelt Cities
Topeka,605,39.0347,-95.6955,172470,0.15,31026409,56756.3,56756.3,41.83,24.9,Growing Sunbelt Cities
Dothan,606,31.2335,-85.4066,97960,0.085,5132194,52621.94,52621.94,42.22,20.41,Southern Heartland Suburbs
St. Louis,609,38.6358,-90.2451,1215570,1.06,434699244,55631.86,55631.86,41.89,25.07,Northeast Urban Hubs
Rockford,610,42.2594,-89.0646,170480,0.149,10923078,52134.64,52134.64,41.28,22.7,Rust Belt/Industrial Metros
Rochestr-Mason City-Austin,611,43.1487,-93.1998,141920,0.124,3225528,57419.12,57419.12,42.71,22.88,Other Minor Markets
Shreveport,612,32.4659,-93.7959,371760,0.324,16058572,55419.59,55419.59,41.75,22.44,Other Minor Markets
Minneapolis-St. Paul,613,44.9635,-93.2679,1742530,1.519,290860658,58897.41,58897.41,41.92,25.74,Other Minor Markets
Kansas City,616,39.1239,-94.5541,919020,0.801,630654728,52033.89,52033.89,40.96,22.63,Major Metro Supercities
Milwaukee,617,43.064,-87.9669,895700,0.781,181473097,59043.36,59043.36,42.14,26.66,Other Minor Markets
Houston,618,29.7871,-95.3936,2450800,2.137,271727469,56025.26,56025.26,40.97,25.76,Northeast Urban Hubs
"Springfield, MO",619,37.1943,-93.2916,409020,0.357,92180525,53532.53,53532.53,42.34,21.93,Rust Belt/Industrial Metros
New Orleans,622,30.0687,-89.9288,641620,0.559,330429161,57209.65,57209.65,42.17,26.01,Northeast Urban Hubs
Dallas-Ft. Worth,623,32.7938,-96.7659,2713380,2.366,109705785,57437.07,57437.07,40.3,25.99,Growing Sunbelt Cities
Sioux City,624,42.4959,-96.3901,150790,0.131,31219036,53720.15,53720.15,41.6,23.69,Rust Belt/Industrial Metros
Waco-Temple-Bryan,625,31.5597,-97.1882,357720,0.312,7699492,55989.51,55989.51,40.12,26.76,Growing Sunbelt Cities
Victoria,626,28.8284,-96.9848,32930,0.029,91670,58912,58912,36.76,19.68,College Towns/Youthful Areas
Wichita Falls & Lawton,627,33.9072,-98.5293,152950,0.133,23075049,52631.65,52631.65,41.3,23.01,Rust Belt/Industrial Metros
Monroe-El Dorado,628,33.2182,-92.6641,170890,0.149,74072948,54160.41,54160.41,41.95,23.02,Rust Belt/Industrial Metros
Birmingham (Ann and Tusc),630,33.5276,-86.7986,696380,0.607,491781411,55432.44,55432.44,42.05,25.01,Other Minor Markets
Ottumwa-Kirksville,631,41.0196,-92.4186,44690,0.039,11873639,55084.58,55084.58,42.18,24.65,Growing Sunbelt Cities
Paducah-Cape Girard-Harsbg,632,37.0711,-88.6435,369390,0.322,110883266,53372.12,53372.12,41.45,23.2,Rust Belt/Industrial Metros
Odessa-Midland,633,31.8831,-102.3407,163450,0.143,4303600,66689.47,66689.47,40.65,23.34,Other Minor Markets
Amarillo,634,35.1999,-101.8297,190240,0.166,3534306,58331.06,58331.06,41.71,23.17,West Coast Mid Cities
Austin,635,30.3038,-97.7545,771210,0.672,13959586,58475.97,58475.97,42.25,25.83,West Coast Mid Cities
Harlingen-Wslco-Brnsvl-McA,636,26.1914,-97.6977,368960,0.322,6147317,47664.39,47664.39,38.84,17.3,Southern Heartland Suburbs
Cedar Rapids-Wtrlo-IWC&Dub,637,41.9667,-91.6781,343000,0.299,53862793,58313.2,58313.2,41.81,25.8,West Coast Mid Cities
St. Joseph,638,39.7598,-94.821,44460,0.039,1060060,54499.11,54499.11,40.46,22.85,Rust Belt/Industrial Metros
"Jackson, TN",639,35.61452,-88.81395,89970,0.078,47354280,55030.85,55030.85,41.52,24.59,Growing Sunbelt Cities
Memphis,640,35.1047,-89.9773,633930,0.553,91543543,57104.31,57104.31,41.49,23.05,Growing Sunbelt Cities
San Antonio,641,29.4722,-98.5247,938660,0.818,4662419,60938.26,60938.26,39.29,26.32,College Towns/Youthful Areas
"Lafayette, LA",642,30.22409,-92.01984,233790,0.204,7561614,52008.65,52008.65,40.84,20.81,Southern Heartland Suburbs
Lake Charles,643,30.203,-93.215,95740,0.083,638342,50686.88,50686.88,39.86,21.34,Southern Heartland Suburbs
"Alexandria, LA",644,31.31129,-92.44514,85560,0.075,5082336,54031.42,54031.42,42.44,22.04,Other Minor Markets
Greenwood-Greenville,647,39.6019,-86.1073,62690,0.055,42031261,60426.66,60426.66,42.4,26.75,West Coast Mid Cities
Champaign&Sprngfld-Decatur,648,40.1148,-88.2731,364050,0.317,18489682,56880.9,56880.9,41.57,23.91,Growing Sunbelt Cities
Evansville,649,37.9882,-87.5339,279860,0.244,16544964,51586.39,51586.39,41.92,19.91,Southern Heartland Suburbs
Oklahoma City,650,35.4677,-97.5138,722140,0.63,32319542,55098.69,55098.69,43.27,22.6,Other Minor Markets
Lubbock,651,33.5665,-101.8867,160440,0.14,964841,56580.91,56580.91,39.86,22.99,College Towns/Youthful Areas
Omaha,652,41.2634,-96.0453,416210,0.363,115608039,60130.88,60130.88,41.67,27.09,West Coast Mid Cities
Panama City,656,30.1985,-85.6153,141740,0.124,59248165,54394.64,54394.64,41.46,23.49,Rust Belt/Industrial Metros
Sherman-Ada,657,33.6266,-96.6195,126050,0.11,5340274,50377.73,50377.73,42.18,19.27,Southern Heartland Suburbs
Green Bay-Appleton,658,44.5151,-87.9895,438070,0.382,23833637,59066.61,59066.61,42.16,23.11,West Coast Mid Cities
Nashville,659,36.1714,-86.7844,1011570,0.882,165095464,53574.26,53574.26,41.65,23.17,Rust Belt/Industrial Metros
San Angelo,661,31.4424,-100.4503,56680,0.049,163694,60130.45,60130.45,42.02,21.88,West Coast Mid Cities
Abilene-Sweetwater,662,32.4543,-99.7384,113080,0.099,11387345,54942.83,54942.83,41.78,20.91,Other Minor Markets
Madison,669,43.0809,-89.3921,384830,0.336,20345825,55404.66,55404.66,42.29,22.92,Other Minor Markets
Ft. Smith-Fay-Sprngdl-Rgrs,670,35.3494,-94.3695,304670,0.266,296926316,57647.06,57647.06,41.71,25.96,Other Minor Markets
Tulsa,671,36.1284,-95.9037,531230,0.463,53061001,59025.69,59025.69,41.69,27.2,West Coast Mid Cities
Columbus-Tupelo-W Pnt-Hstn,673,34.2637,-88.7298,181860,0.159,40167808,53166.66,53166.66,42.08,22.54,Rust Belt/Industrial Metros
Peoria-Bloomington,675,40.7518,-89.6153,235690,0.206,7852014,56452.2,56452.2,42.67,23.14,Other Minor Markets
Duluth-Superior,676,46.7797,-92.1334,164380,0.143,9894623,62780,62780,42.64,29.68,Other Minor Markets
Wichita-Hutchinson Plus,678,37.6894,-97.344,439760,0.383,18082952,55187.12,55187.12,42.5,21.97,Other Minor Markets
Des Moines-Ames,679,41.5725,-93.6104,433950,0.378,138279563,53934.89,53934.89,41.97,22.88,Rust Belt/Industrial Metros
Davenport-R.Island-Moline,682,41.5558,-90.6052,294680,0.257,52868967,53303.15,53303.15,41.46,22.02,Rust Belt/Industrial Metros
Mobile-Pensacola (Ft Walt),686,30.6782,-88.1161,528320,0.461,25886577,59746.71,59746.71,42.36,26.43,West Coast Mid Cities
Minot-Bsmrck-Dcknsn(Wlstn),687,48.2375,-101.2779,167010,0.146,3470690,58652.69,58652.69,42.24,22.91,West Coast Mid Cities
Huntsville-Decatur (Flor),691,34.699,-86.6412,385470,0.336,261186422,52785.1,52785.1,41.29,23.14,Northeast Urban Hubs
Beaumont-Port Arthur,692,30.0849,-94.1451,165120,0.144,174593690,55915.95,55915.95,41.95,25.41,Small Coastal Cities
Little Rock-Pine Bluff,693,34.7255,-92.3584,547950,0.478,105182162,54012.77,54012.77,41.78,23.15,Rust Belt/Industrial Metros
Montgomery-Selma,698,32.347,-86.2663,230420,0.201,76568459,55278.25,55278.25,40.46,26.55,Growing Sunbelt Cities
La Crosse-Eau Claire,702,43.8234,-91.2279,206480,0.18,31907945,53330.97,53330.97,41.27,21.67,Rust Belt/Industrial Metros
Wausau-Rhinelander,705,45.6361,-89.4255,174760,0.152,24160006,54162.93,54162.93,43.22,21.85,Other Minor Markets
Tyler-Longview(Lfkn&Ncgd),709,32.5192,-94.7622,265690,0.232,16751988,53539.45,53539.45,42.08,23.32,Rust Belt/Industrial Metros
Hattiesburg-Laurel,710,31.3073,-89.3169,108380,0.095,17282857,50064.5,50064.5,42.09,19.23,Southern Heartland Suburbs
Meridian,711,43.6182,-116.398,65300,0.057,2102368,48311.45,48311.45,42.24,19.85,Southern Heartland Suburbs
Baton Rouge,716,30.4422,-91.1314,330910,0.289,4277873,55344.89,55344.89,42.74,23.48,Other Minor Markets
Quincy-Hannibal-Keokuk,717,39.7097,-91.3936,99340,0.087,32209390,53751.98,53751.98,42.21,21.63,Rust Belt/Industrial Metros
"Jackson, MS",718,32.3163,-90.2124,321830,0.281,92886248,53732.17,53732.17,41.65,24.11,Rust Belt/Industrial Metros
Lincoln & Hastings-Krny,722,40.8102,-96.6808,276800,0.241,24740747,55581.65,55581.65,42.08,24.75,Growing Sunbelt Cities
Fargo-Valley City,724,46.87719,-96.7898,249010,0.217,43503364,54408.35,54408.35,42.06,23.34,Rust Belt/Industrial Metros
Sioux Falls(Mitchell),725,43.5382,-96.7315,263000,0.229,50881760,55664.86,55664.86,42.83,22.61,Other Minor Markets
Jonesboro,734,35.8211,-90.6793,79860,0.07,16910535,50257.05,50257.05,42.08,21.52,Southern Heartland Suburbs
Bowling Green,736,36.9725,-86.4371,80230,0.07,29198339,55815.39,55815.39,42.06,25.09,Growing Sunbelt Cities
Mankato,737,44.172,-93.9782,51820,0.045,3029449,63939.76,63939.76,42.48,21.52,West Coast Mid Cities
North Platte,740,41.1266,-100.764,14370,0.013,18739758,54276.88,54276.88,44.01,21.64,Other Minor Markets
Anchorage,743,61.1508,-149.1091,154020,0.134,,,,,,Other Minor Markets
Honolulu,744,21.3069,-157.8583,442820,0.386,1484644,63356.3,63356.3,42.25,33.16,Other Minor Markets
Fairbanks,745,64.8353,-147.6533,36070,0.031,,,,,,Rural America
Biloxi-Gulfport,746,30.4393,-88.9542,130030,0.113,86963381,51146.46,51146.46,40.82,21.14,Southern Heartland Suburbs
Juneau,747,58.4566,-134.1776,25680,0.022,31959,49419,49419,45.42,16.27,Southern Heartland Suburbs
Laredo,749,27.5536,-99.489,74330,0.065,281396,40606.25,40606.25,30.05,19.02,Rural America
Denver,751,39.7621,-104.8759,1630380,1.422,544731693,57036.18,57036.18,42.18,25.28,Other Minor Markets
Colorado Springs-Pueblo,752,38.8673,-104.7605,354190,0.309,4643143,54514.77,54514.77,42.34,24.29,Other Minor Markets
Phoenix (Prescott),753,33.5722,-112.0891,1890100,1.648,6046303,58273.66,58273.66,41.91,27.18,West Coast Mid Cities
Butte-Bozeman,754,45.902,-112.6571,70320,0.061,13202372,55244.35,55244.35,40.94,26.45,Growing Sunbelt Cities
Great Falls,755,47.5016,-111.2993,63720,0.056,533277,79292.71,79292.71,41.65,26.46,Major Metro Supercities
Billings,756,45.7892,-108.5498,110630,0.096,1367032,58970.9,58970.9,44.22,27.98,West Coast Mid Cities
Boise,757,43.6135,-116.20345,270200,0.236,11886314,59667.3,59667.3,42.28,26.24,West Coast Mid Cities
Idaho Fals-Pocatllo(Jcksn),758,43.4878,-112.0359,123170,0.107,42408516,57658.17,57658.17,41.48,26.3,Growing Sunbelt Cities
Cheyenne-Scottsbluff,759,41.1418,-104.7943,56120,0.049,333906,61374.19,61374.19,39.22,24.75,College Towns/Youthful Areas
Twin Falls,760,42.5631,-114.4637,64190,0.056,3456979,56376.46,56376.46,43.83,22.04,Other Minor Markets
Missoula,762,46.8687,-114.0089,115020,0.1,5564387,57898.84,57898.84,44.13,27.5,West Coast Mid Cities
Rapid City,764,44.0709,-103.22,99170,0.086,6502686,52459.47,52459.47,41.71,21.15,Southern Heartland Suburbs
El Paso (Las Cruces),765,31.8478,-106.431,333270,0.291,3545805,55869.08,55869.08,34.45,31.91,College Towns/Youthful Areas
Helena,766,46.5963,-112.0196,28110,0.025,78714,60747.64,60747.64,42.45,39.28,Other Minor Markets
Casper-Riverton,767,42.843,-106.3205,56260,0.049,579520,56192.82,56192.82,42.01,22.73,Other Minor Markets
Salt Lake City,770,40.7774,-111.9301,916960,0.799,205946321,57786.48,57786.48,42.57,25.15,Other Minor Markets
Yuma-El Centro,771,32.599,-114.5489,109930,0.096,1003231,50342,50342,35.4,20.09,Rural America
Grand Junction-Montrose,773,39.0881,-108.5675,69820,0.061,239734,60029.27,60029.27,42.63,30.33,Other Minor Markets
Tucson (Sierra Vista),789,32.1558,-110.8777,425860,0.371,1451378,59457.84,59457.84,40.32,32.22,Other Minor Markets
Albuquerque-Santa Fe,790,35.1055,-106.6476,677590,0.591,21201983,54460,54460,43.59,22.19,Other Minor Markets
Glendive,798,47.1102,-104.707,4370,0.004,146556,56314.11,56314.11,39.85,22.77,College Towns/Youthful Areas
Bakersfield,800,35.3528,-119.0354,223250,0.195,911826,48590.94,48590.94,32.71,19.13,Rural America
Eugene,801,44.0562,-123.1172,239710,0.209,25282524,65058.32,65058.32,41.71,29.46,Other Minor Markets
Eureka,802,40.7941,-124.1568,58640,0.051,1249998,57945.82,57945.82,39.33,23.67,College Towns/Youthful Areas
Los Angeles,803,34.114,-118.4068,5476830,4.775,213665811,64701.58,64701.58,39.59,34.23,Other Minor Markets
Palm Springs,804,33.8012,-116.538,158010,0.138,2454198,53750,53750,36.83,25.08,College Towns/Youthful Areas
San Francisco-Oak-San Jose,807,37.7561,-122.4429,2488090,2.169,17076216,66930.87,66930.87,43.46,30.1,Other Minor Markets
Yakima-Pasco-Rchlnd-Knnwck,810,46.60207,-120.5059,230950,0.201,77467385,54707.09,54707.09,41.55,24.36,Growing Sunbelt Cities
Reno,811,39.5487,-119.8486,260630,0.227,8745211,64565.64,64565.64,41.4,29.63,Other Minor Markets
Medford-Klamath Falls,813,42.2193,-121.7755,168710,0.147,123757049,51812.22,51812.22,41.06,21.93,Rust Belt/Industrial Metros
Seattle-Tacoma,819,47.6217,-122.3238,1808530,1.577,72335280,61455.71,61455.71,41.76,26.3,West Coast Mid Cities
"Portland, OR",820,45.5372,-122.65,1143670,0.997,788051344,56995.47,56995.47,42.49,24.24,Major Metro Supercities
"Bend, OR",821,44.0562,-121.3087,67430,0.059,279683,62944.82,62944.82,41.9,30.27,Other Minor Markets
San Diego,825,32.8312,-117.1225,1065700,0.929,3278850,79122,79122,37.02,42.08,Major Metro Supercities
Monterey-Salinas,828,36.6881,-121.6316,226630,0.198,1620082,68876.74,68876.74,37.66,31.62,Other Minor Markets
Las Vegas,839,36.2288,-115.2603,757840,0.661,332722102,56458.77,56458.77,40.59,22.07,Northeast Urban Hubs
SantaBarbra-SanMar-SanLuOb,855,34.4285,-119.7202,226940,0.198,725691,77649.79,77649.78,37.39,37.29,Other Minor Markets
Sacramnto-Stkton-Modesto,862,38.5666,-121.4683,1379770,1.203,5163209,63114.14,63114.14,42.64,27.77,Other Minor Markets
Fresno-Visalia,866,36.7834,-119.7933,573180,0.5,2546554,51677.76,51677.76,34.01,21.48,Rural America
Chico-Redding,868,39.7568,-121.816,188010,0.164,2225420,51999.22,51999.22,42.57,20.68,Southern Heartland Suburbs
Spokane,881,47.6671,-117.433,422550,0.368,43749002,54443.65,54443.65,43.53,22.01,Other Minor Markets